LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CHE,CPI,TOT,AGRWTH,M,2014-12,-0.3284491
CHE,CPI,TOT,AGRWTH,M,2015-01,-0.4851975
CHE,CPI,TOT,AGRWTH,M,2015-02,-0.8396546
CHE,CPI,TOT,AGRWTH,M,2015-03,-0.8747237
CHE,CPI,TOT,AGRWTH,M,2015-04,-1.122652
CHE,CPI,TOT,AGRWTH,M,2015-05,-1.181789
CHE,CPI,TOT,AGRWTH,M,2015-06,-1.037265
CHE,CPI,TOT,AGRWTH,M,2015-07,-1.275927
CHE,CPI,TOT,AGRWTH,M,2015-08,-1.402459
CHE,CPI,TOT,AGRWTH,M,2015-09,-1.443673
CHE,CPI,TOT,AGRWTH,M,2015-10,-1.359866
CHE,CPI,TOT,AGRWTH,M,2015-11,-1.392509
CHE,CPI,TOT,AGRWTH,M,2015-12,-1.308355
CHE,CPI,TOT,AGRWTH,M,2016-01,-1.266732
CHE,CPI,TOT,AGRWTH,M,2016-02,-0.8284798
CHE,CPI,TOT,AGRWTH,M,2016-03,-0.8607506
CHE,CPI,TOT,AGRWTH,M,2016-04,-0.3518723
CHE,CPI,TOT,AGRWTH,M,2016-05,-0.4399569
CHE,CPI,TOT,AGRWTH,M,2016-06,-0.374045
CHE,CPI,TOT,AGRWTH,M,2016-07,-0.202861
CHE,CPI,TOT,AGRWTH,M,2016-08,-0.1430682
CHE,CPI,TOT,AGRWTH,M,2016-09,-0.1814716
CHE,CPI,TOT,AGRWTH,M,2016-10,-0.2127681
CHE,CPI,TOT,AGRWTH,M,2016-11,-0.3383042
CHE,CPI,TOT,AGRWTH,M,2016-12,-0.0067
CHE,CPI,TOT,AGRWTH,M,2017-01,0.3489557
CHE,CPI,TOT,AGRWTH,M,2017-02,0.6460153
CHE,CPI,TOT,AGRWTH,M,2017-03,0.5678923
CHE,CPI,TOT,AGRWTH,M,2017-04,0.4377588
CHE,CPI,TOT,AGRWTH,M,2017-05,0.479389
CHE,CPI,TOT,AGRWTH,M,2017-06,0.1972077
CHE,CPI,TOT,AGRWTH,M,2017-07,0.3292469
CHE,CPI,TOT,AGRWTH,M,2017-08,0.4627675
CHE,CPI,TOT,AGRWTH,M,2017-09,0.6520706
CHE,CPI,TOT,AGRWTH,M,2017-10,0.6609076
CHE,CPI,TOT,AGRWTH,M,2017-11,0.7871262
CHE,CPI,TOT,AGRWTH,M,2017-12,0.8386562
CHE,CPI,TOT,AGRWTH,M,2018-01,0.7402027
CHE,CPI,TOT,AGRWTH,M,2018-02,0.6280298
CHE,CPI,TOT,AGRWTH,M,2018-03,0.7953681
CHE,CPI,TOT,AGRWTH,M,2018-04,0.8031909
CHE,CPI,TOT,AGRWTH,M,2018-05,0.9992321
CHE,CPI,TOT,AGRWTH,M,2018-06,1.146528
CHE,CPI,TOT,AGRWTH,M,2018-07,1.230351
CHE,CPI,TOT,AGRWTH,M,2018-08,1.180957
CHE,CPI,TOT,AGRWTH,M,2018-09,0.9894649
CHE,CPI,TOT,AGRWTH,M,2018-10,1.106566
CHE,CPI,TOT,AGRWTH,M,2018-11,0.9219655
CHE,CPI,TOT,AGRWTH,M,2018-12,0.691547
CHE,CPI,TOT,AGRWTH,M,2019-01,0.560085
CHE,CPI,TOT,AGRWTH,M,2019-02,0.578697
CHE,CPI,TOT,AGRWTH,M,2019-03,0.7290673
CHE,CPI,TOT,AGRWTH,M,2019-04,0.7080731
CHE,CPI,TOT,AGRWTH,M,2019-05,0.6342515
CHE,CPI,TOT,AGRWTH,M,2019-06,0.6003243
CHE,CPI,TOT,AGRWTH,M,2019-07,0.3117058
CHE,CPI,TOT,AGRWTH,M,2019-08,0.3180431
CHE,CPI,TOT,AGRWTH,M,2019-09,0.1483251
CHE,CPI,TOT,AGRWTH,M,2019-10,-0.2531092
CHE,CPI,TOT,AGRWTH,M,2019-11,-0.1311517
CHE,CPI,TOT,AGRWTH,M,2019-12,0.1558172
CHE,CPI,TOT,AGRWTH,M,2020-01,0.2023444
CHE,CPI,TOT,AGRWTH,M,2020-02,-0.06226834
CHE,CPI,TOT,AGRWTH,M,2020-03,-0.5
